"Run ID" RA_PNT DEC_PNT Exposure[s] ALT_PNT AZ_PNT TSTART[MJD] SRC_NAME NSB_TUNING POINT/FULL_ENCLOSURE FILENAME
2950 83.26997212149995 21.786730713705925 59173.072032715005 76.02218599332863 117.09240598990077 59173.072032715005 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201119/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02950.fits
2956 83.98207834799652 22.24499252373773 59173.17523200439 68.39851709072559 257.670638483406 59173.17523200439 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201119/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02956.fits
2959 83.28210073647618 21.788027827065026 59173.215420469496 55.74355121898809 266.9393135158924 59173.215420469496 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201119/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02959.fits
2965 83.96614072106776 22.246427533049864 59173.98985942611 50.97626169379676 89.49179798662233 59173.98985942611 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201120/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02965.fits
2966 83.26450868280637 21.78785657676431 59174.004612954785 56.07265870345774 93.27868090350394 59174.004612954785 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201120/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02966.fits
2967 83.96961600265699 22.24545121277811 59174.01923551927 60.27504005989153 95.18093989703546 59174.01923551927 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201120/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02967.fits
2968 83.2670995701722 21.78723336124799 59174.03411515877 65.36427099819106 100.44701532958656 59174.03411515877 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201120/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02968.fits
2969 83.97204986204231 22.244881413548434 59174.04866939445 69.43087527762405 103.53807740430875 59174.04866939445 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201120/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02969.fits
2970 83.26963656629258 21.78675969475549 59174.063261385236 74.20092598500331 112.74325631479402 59174.063261385236 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201120/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02970.fits
2971 83.97455119173783 22.24470701234053 59174.07785361578 78.0279026732403 120.74985573539952 59174.07785361578 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201120/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02971.fits
2972 83.27179632066492 21.786506542018458 59174.09241090846 81.54632060915498 145.56826620978532 59174.09241090846 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201120/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02972.fits
2973 83.97682186268646 22.244547527256245 59174.10709474643 83.34931250745365 175.31372265516367 59174.10709474643 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201120/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02973.fits
2974 83.2739063512816 21.78661952413719 59174.12164761433 81.44980624932776 215.4515495771993 59174.12164761433 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201120/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02974.fits
